filename	GT_id	ocr_lines_in_part	total_aligned_lines	aligned_lines_ratio	max_aligned_clusters_size
IE87474895_00044.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	27	27	100.0	27
IE87474895_00044.xml	Siddur_Ashkenaz_clean_concatenated.txt	27	25	92.6	17
IE87474895_00044.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	27	15	55.6	10
IE87476216_00051.xml	MT_NoVoc_concatenated.txt	23	21	91.3	18
IE87476216_00051.xml	Siddur_Ashkenaz_clean_concatenated.txt	23	4	17.4	4
IE87476216_00051.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23	4	17.4	4
IE87502633_00018.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23	11	47.8	5
IE87502633_00018.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	23	11	47.8	5
IE87502633_00018.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	23	10	43.5	5
IE87502633_00044.xml	MT_NoVoc_concatenated.txt	23	21	91.3	18
IE87502633_00044.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23	20	87.0	17
IE87502633_00044.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	23	20	87.0	17
IE87502633_00044.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	23	20	87.0	17
IE87502633_00044.xml	Siddur_Ashkenaz_clean_concatenated.txt	23	19	82.6	8
IE87508468_00031.xml	MT_NoVoc_concatenated.txt	18	14	77.8	14
IE87508468_00031.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	18	12	66.7	12
IE87508468_00031.xml	Siddur_Ashkenaz_clean_concatenated.txt	18	12	66.7	12
IE87519524_00013.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23	19	82.6	10
IE87519524_00013.xml	Siddur_Ashkenaz_clean_concatenated.txt	23	20	87.0	10
IE87519524_00013.xml	MT_NoVoc_concatenated.txt	23	3	13.0	3
IE87519524_00013.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	23	3	13.0	3
IE87532920_00026.xml	MT_NoVoc_concatenated.txt	24	24	100.0	24
IE87532920_00026.xml	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	24	16	66.7	16
IE87532920_00026.xml	Siddur_Ashkenaz_clean_concatenated.txt	24	15	62.5	14
IE87532920_00026.xml	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	24	15	62.5	13
IE87532920_00026.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	24	14	58.3	6
IE87555665_00021.xml	Siddur_Ashkenaz_clean_concatenated.txt	14	6	42.9	6
IE87555665_00021.xml	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	14	6	42.9	6
