id	filename	ocr_lines_in_part	Top1_GT_id	total_aligned_lines_1	Top2_GT_id	total_aligned_lines_2	Top3_GT_id	total_aligned_lines_3	Top4_GT_id	total_aligned_lines_4	Top5_GT_id	total_aligned_lines_5
45	IE87708411_00019.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	13	Siddur_Ashkenaz_clean_concatenated.txt	10	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	9	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	6		
46	IE87700963_00014.xml	14	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Siddur_Ashkenaz_clean_concatenated.txt	11	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	2	MT_NoVoc_concatenated.txt	2		
47	IE87476216_00051.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	21	Siddur_Ashkenaz_clean_concatenated.txt	4	MT_NoVoc_concatenated.txt	4				
48	IE87580382_00041.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	20	Siddur_Ashkenaz_clean_concatenated.txt	13	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	13	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13		
49	IE87234800_00005.xml	22	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	22	Siddur_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	21	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	17		
50	IE87581919_00011.xml	23	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	3	Siddur_Ashkenaz_clean_concatenated.txt	3						
51	IE87610546_00015.xml	17	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	6	Siddur_Ashkenaz_clean_concatenated.txt	6	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	6	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	4	MT_NoVoc_concatenated.txt	2
52	IE21442926_00014.xml	66	MT_NoVoc_concatenated.txt	61								
53	IE87675634_00010.xml	30	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	8	Siddur_Ashkenaz_clean_concatenated.txt	8	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	4				
54	IE87752740_00019.xml	11	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	11	Siddur_Ashkenaz_clean_concatenated.txt	11	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	11	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	9		
55	IE61220167_00084.xml	19	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	12	Siddur_Ashkenaz_clean_concatenated.txt	9	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	8	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	8		
56	IE108110062_00015.xml	84	MT_NoVoc_concatenated.txt	6								
57	IE87733114_00006.xml	24	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	19	Siddur_Ashkenaz_clean_concatenated.txt	19	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	12	MT_NoVoc_concatenated.txt	1		
58	IE87447950_00015.xml	31	Siddur_Ashkenaz_novoc_no_lbs_Daniel.txt	23	Siddur_Ashkenaz_clean_concatenated.txt	22	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	15	Machzor_Rosh_Hashanah_Ashkenaz_clean_concatenated.txt	13	MT_NoVoc_concatenated.txt	10
59	IE61220167_00083.xml	19	Machzor_Yom_Kippur_Ashkenaz_clean_concatenated.txt	6	MT_NoVoc_concatenated.txt	4						
